1754444183.280794 server started (94692): version next-3.6, socket /tmp/tmux-1000/default, protocol 8
1754444183.280815 on Linux 6.1.0-37-amd64 #1 SMP PREEMPT_DYNAMIC Debian 6.1.140-1 (2025-05-22)
1754444183.280830 using libevent 2.1.12-stable poll
1754444183.280835 using ncurses 6.4 20221231
1754444183.281053 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1754444183.281056 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1754444183.281059 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1754444183.281063 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1754444183.281066 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1754444183.281069 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1754444183.281072 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1754444183.281075 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1754444183.281079 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1754444183.281082 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1754444183.281085 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1754444183.281088 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1754444183.281091 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1754444183.281102 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1754444183.281105 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1754444183.281108 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1754444183.281111 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1754444183.281114 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1754444183.281117 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1754444183.281120 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1754444183.281123 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1754444183.281126 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1754444183.281129 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1754444183.281134 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1754444183.281137 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1754444183.281140 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1754444183.281143 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1754444183.281147 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1754444183.281150 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1754444183.281153 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1754444183.281156 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1754444183.281159 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1754444183.281162 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1754444183.281165 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1754444183.281169 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1754444183.281174 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1754444183.281179 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1754444183.281184 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1754444183.281189 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1754444183.281194 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1754444183.281199 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1754444183.281204 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1754444183.281208 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1754444183.281213 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1754444183.281218 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1754444183.281224 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1754444183.281231 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1754444183.281237 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1754444183.281240 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1754444183.281244 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1754444183.281247 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1754444183.281250 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1754444183.281253 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1754444183.281256 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1754444183.281259 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1754444183.281262 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1754444183.281265 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1754444183.281269 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1754444183.281272 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1754444183.281278 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1754444183.281281 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1754444183.281284 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1754444183.281288 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1754444183.281291 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1754444183.281294 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1754444183.281297 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1754444183.281300 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1754444183.281304 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1754444183.281308 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1754444183.281312 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1754444183.281323 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1754444183.281326 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1754444183.281329 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1754444183.281333 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1754444183.281336 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1754444183.281339 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1754444183.281342 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1754444183.281345 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1754444183.281348 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1754444183.281352 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1754444183.281355 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1754444183.281358 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1754444183.281362 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1754444183.281365 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1754444183.281368 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1754444183.281371 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1754444183.281375 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1754444183.281378 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1754444183.281381 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1754444183.281384 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1754444183.281387 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1754444183.281390 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1754444183.281393 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1754444183.281397 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1754444183.281400 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1754444183.281403 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1754444183.281406 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1754444183.281410 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1754444183.281413 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1754444183.281416 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1754444183.281419 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1754444183.281422 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1754444183.281426 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1754444183.281429 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1754444183.281432 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1754444183.281435 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1754444183.281438 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1754444183.281442 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1754444183.281445 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1754444183.281448 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1754444183.281451 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1754444183.281454 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1754444183.281457 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1754444183.281460 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1754444183.281464 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1754444183.281467 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1754444183.281470 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1754444183.281473 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1754444183.281476 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1754444183.281480 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1754444183.281483 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1754444183.281486 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1754444183.281489 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1754444183.281492 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1754444183.281499 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1754444183.281503 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1754444183.281506 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1754444183.281509 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1754444183.281513 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1754444183.281518 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1754444183.281521 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1754444183.281524 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1754444183.281527 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1754444183.281530 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1754444183.281534 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1754444183.281537 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1754444183.281540 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1754444183.281543 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1754444183.281547 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1754444183.281550 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1754444183.281553 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1754444183.281556 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1754444183.281559 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1754444183.281563 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1754444183.281566 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1754444183.281569 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1754444183.281572 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1754444183.281576 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1754444183.281579 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1754444183.281582 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1754444183.281585 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1754444183.281589 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1754444183.281592 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1754444183.281595 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1754444183.281598 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1754444183.281602 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1754444183.281605 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1754444183.281608 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1754444183.281611 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1754444183.281614 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1754444183.281618 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1754444183.281621 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1754444183.281624 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1754444183.281628 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1754444183.281631 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1754444183.281634 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1754444183.281637 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1754444183.281641 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1754444183.281644 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1754444183.281647 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1754444183.281650 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1754444183.281684 yylex_token: end at WS
1754444183.281688 yylex_token: bind
1754444183.281691 yylex_token: end at WS
1754444183.281694 yylex_token: -N
1754444183.281697 yylex_token: end at WS
1754444183.281700 yylex_token: Send the prefix key
1754444183.281702 yylex_token: end at WS
1754444183.281704 yylex_token: C-b
1754444183.281707 yylex_token: end at WS
1754444183.281709 yylex_token: send-prefix
1754444183.281712 cmd_parse_build_commands 0:0: bind
1754444183.281718 cmd_parse_build_commands 0:1: -N
1754444183.281720 cmd_parse_build_commands 0:2: Send the prefix key
1754444183.281723 cmd_parse_build_commands 0:3: C-b
1754444183.281727 cmd_parse_build_commands 0:4 0:0: send-prefix
1754444183.281734 cmd_parse_build_commands 0:0: send-prefix
1754444183.281740 args_parse: flags end at 1 of 1
1754444183.281743 cmd_parse_build_commands: send-prefix
1754444183.281746 args_parse_flags: next -N
1754444183.281748 args_parse_flag_argument: -N = Send the prefix key
1754444183.281751 args_parse_flags: next C-b
1754444183.281753 args_parse: flags end at 3 of 5
1754444183.281756 args_parse: 3 = C-b (type STRING)
1754444183.281759 args_parse: 4 = send-prefix (type COMMANDS)
1754444183.281765 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1754444183.281768 cmdq_get_command: [bind-key/0x561adbeb1780] group 6
1754444183.281771 cmdq_append <global>: [bind-key/0x561adbeb1780]
1754444183.281774 yylex_token: end at WS
1754444183.281776 yylex_token: bind
1754444183.281778 yylex_token: end at WS
1754444183.281780 yylex_token: -N
1754444183.281783 yylex_token: end at WS
1754444183.281785 yylex_token: Rotate through the panes
1754444183.281788 yylex_token: end at WS
1754444183.281790 yylex_token: C-o
1754444183.281792 yylex_token: end at WS
1754444183.281795 yylex_token: rotate-window
1754444183.281798 cmd_parse_build_commands 0:0: bind
1754444183.281800 cmd_parse_build_commands 0:1: -N
1754444183.281802 cmd_parse_build_commands 0:2: Rotate through the panes
1754444183.281805 cmd_parse_build_commands 0:3: C-o
1754444183.281807 cmd_parse_build_commands 0:4 0:0: rotate-window
1754444183.281810 cmd_parse_build_commands 0:0: rotate-window
1754444183.281814 args_parse: flags end at 1 of 1
1754444183.281817 cmd_parse_build_commands: rotate-window
1754444183.281819 args_parse_flags: next -N
1754444183.281821 args_parse_flag_argument: -N = Rotate through the panes
1754444183.281824 args_parse_flags: next C-o
1754444183.281826 args_parse: flags end at 3 of 5
1754444183.281828 args_parse: 3 = C-o (type STRING)
1754444183.281831 args_parse: 4 = rotate-window (type COMMANDS)
1754444183.281836 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1754444183.281839 cmdq_get_command: [bind-key/0x561adbeb3490] group 14
1754444183.281841 cmdq_append <global>: [bind-key/0x561adbeb3490]
1754444183.281843 yylex_token: end at WS
1754444183.281846 yylex_token: bind
1754444183.281848 yylex_token: end at WS
1754444183.281850 yylex_token: -N
1754444183.281853 yylex_token: end at WS
1754444183.281855 yylex_token: Suspend the current client
1754444183.281857 yylex_token: end at WS
1754444183.281859 yylex_token: C-z
1754444183.281862 yylex_token: end at WS
1754444183.281864 yylex_token: suspend-client
1754444183.281867 cmd_parse_build_commands 0:0: bind
1754444183.281870 cmd_parse_build_commands 0:1: -N
1754444183.281873 cmd_parse_build_commands 0:2: Suspend the current client
1754444183.281875 cmd_parse_build_commands 0:3: C-z
1754444183.281878 cmd_parse_build_commands 0:4 0:0: suspend-client
1754444183.281880 cmd_parse_build_commands 0:0: suspend-client
1754444183.281884 args_parse: flags end at 1 of 1
1754444183.281887 cmd_parse_build_commands: suspend-client
1754444183.281890 args_parse_flags: next -N
1754444183.281892 args_parse_flag_argument: -N = Suspend the current client
1754444183.281894 args_parse_flags: next C-z
1754444183.281897 args_parse: flags end at 3 of 5
1754444183.281899 args_parse: 3 = C-z (type STRING)
1754444183.281902 args_parse: 4 = suspend-client (type COMMANDS)
1754444183.281906 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1754444183.281910 cmdq_get_command: [bind-key/0x561adbeb2e40] group 22
1754444183.281912 cmdq_append <global>: [bind-key/0x561adbeb2e40]
1754444183.281914 yylex_token: end at WS
1754444183.281917 yylex_token: bind
1754444183.281919 yylex_token: end at WS
1754444183.281921 yylex_token: -N
1754444183.281924 yylex_token: end at WS
1754444183.281929 yylex_token: Select next layout
1754444183.281931 yylex_token: end at WS
1754444183.281933 yylex_token: Space
1754444183.281936 yylex_token: end at WS
1754444183.281938 yylex_token: next-layout
1754444183.281941 cmd_parse_build_commands 0:0: bind
1754444183.281943 cmd_parse_build_commands 0:1: -N
1754444183.281945 cmd_parse_build_commands 0:2: Select next layout
1754444183.281948 cmd_parse_build_commands 0:3: Space
1754444183.281950 cmd_parse_build_commands 0:4 0:0: next-layout
1754444183.281953 cmd_parse_build_commands 0:0: next-layout
1754444183.281956 args_parse: flags end at 1 of 1
1754444183.281959 cmd_parse_build_commands: next-layout
1754444183.281961 args_parse_flags: next -N
1754444183.281964 args_parse_flag_argument: -N = Select next layout
1754444183.281966 args_parse_flags: next Space
1754444183.281969 args_parse: flags end at 3 of 5
1754444183.281971 args_parse: 3 = Space (type STRING)
1754444183.281974 args_parse: 4 = next-layout (type COMMANDS)
1754444183.281978 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1754444183.281988 cmdq_get_command: [bind-key/0x561adbeb3f40] group 30
1754444183.281990 cmdq_append <global>: [bind-key/0x561adbeb3f40]
1754444183.281993 yylex_token: end at WS
1754444183.281995 yylex_token: bind
1754444183.281997 yylex_token: end at WS
1754444183.281999 yylex_token: -N
1754444183.282002 yylex_token: end at WS
1754444183.282004 yylex_token: Break pane to a new window
1754444183.282007 yylex_token: end at WS
1754444183.282009 yylex_token: !
1754444183.282011 yylex_token: end at WS
1754444183.282013 yylex_token: break-pane
1754444183.282016 cmd_parse_build_commands 0:0: bind
1754444183.282018 cmd_parse_build_commands 0:1: -N
1754444183.282021 cmd_parse_build_commands 0:2: Break pane to a new window
1754444183.282023 cmd_parse_build_commands 0:3: !
1754444183.282026 cmd_parse_build_commands 0:4 0:0: break-pane
1754444183.282029 cmd_parse_build_commands 0:0: break-pane
1754444183.282031 args_parse: flags end at 1 of 1
1754444183.282034 cmd_parse_build_commands: break-pane
1754444183.282036 args_parse_flags: next -N
1754444183.282039 args_parse_flag_argument: -N = Break pane to a new window
1754444183.282041 args_parse_flags: next !
1754444183.282044 args_parse: flags end at 3 of 5
1754444183.282046 args_parse: 3 = ! (type STRING)
1754444183.282049 args_parse: 4 = break-pane (type COMMANDS)
1754444183.282053 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1754444183.282056 cmdq_get_command: [bind-key/0x561adbeb4790] group 38
1754444183.282059 cmdq_append <global>: [bind-key/0x561adbeb4790]
1754444183.282061 yylex_token: end at WS
1754444183.282063 yylex_token: bind
1754444183.282065 yylex_token: end at WS
1754444183.282067 yylex_token: -N
1754444183.282070 yylex_token: end at WS
1754444183.282072 yylex_token: Split window vertically
1754444183.282075 yylex_token: end at WS
1754444183.282077 yylex_token: "
1754444183.282079 yylex_token: end at WS
1754444183.282081 yylex_token: split-window
1754444183.282084 cmd_parse_build_commands 0:0: bind
1754444183.282086 cmd_parse_build_commands 0:1: -N
1754444183.282089 cmd_parse_build_commands 0:2: Split window vertically
1754444183.282093 cmd_parse_build_commands 0:3: "
1754444183.282234 cmd_parse_build_commands 0:4 0:0: split-window
1754444183.282241 cmd_parse_build_commands 0:0: split-window
1754444183.282246 args_parse: flags end at 1 of 1
1754444183.282249 cmd_parse_build_commands: split-window
1754444183.282252 args_parse_flags: next -N
1754444183.282255 args_parse_flag_argument: -N = Split window vertically
1754444183.282257 args_parse_flags: next "
1754444183.282260 args_parse: flags end at 3 of 5
1754444183.282262 args_parse: 3 = " (type STRING)
1754444183.282265 args_parse: 4 = split-window (type COMMANDS)
1754444183.282271 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1754444183.282274 cmdq_get_command: [bind-key/0x561adbeb4da0] group 46
1754444183.282277 cmdq_append <global>: [bind-key/0x561adbeb4da0]
1754444183.282280 yylex_token: end at WS
1754444183.282287 yylex_token: bind
1754444183.282289 yylex_token: end at WS
1754444183.282292 yylex_token: -N
1754444183.282294 yylex_token: end at WS
1754444183.282297 yylex_token: List all paste buffers
1754444183.282299 yylex_token: end at WS
1754444183.282301 yylex_token: #
1754444183.282304 yylex_token: end at WS
1754444183.282306 yylex_token: list-buffers
1754444183.282309 cmd_parse_build_commands 0:0: bind
1754444183.282311 cmd_parse_build_commands 0:1: -N
1754444183.282314 cmd_parse_build_commands 0:2: List all paste buffers
1754444183.282316 cmd_parse_build_commands 0:3: #
1754444183.282319 cmd_parse_build_commands 0:4 0:0: list-buffers
1754444183.282322 cmd_parse_build_commands 0:0: list-buffers
1754444183.282325 args_parse: flags end at 1 of 1
1754444183.282328 cmd_parse_build_commands: list-buffers
1754444183.282333 args_parse_flags: next -N
1754444183.282336 args_parse_flag_argument: -N = List all paste buffers
1754444183.282338 args_parse_flags: next #
1754444183.282340 args_parse: flags end at 3 of 5
1754444183.282343 args_parse: 3 = # (type STRING)
1754444183.282345 args_parse: 4 = list-buffers (type COMMANDS)
1754444183.282350 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1754444183.282353 cmdq_get_command: [bind-key/0x561adbeb52a0] group 54
1754444183.282356 cmdq_append <global>: [bind-key/0x561adbeb52a0]
1754444183.282358 yylex_token: end at WS
1754444183.282361 yylex_token: bind
1754444183.282363 yylex_token: end at WS
1754444183.282365 yylex_token: -N
1754444183.282368 yylex_token: end at WS
1754444183.282370 yylex_token: Rename current session
1754444183.282372 yylex_token: end at WS
1754444183.282374 yylex_token: $
1754444183.282377 yylex_token: end at WS
1754444183.282379 yylex_token: command-prompt
1754444183.282381 yylex_token: end at WS
1754444183.282383 yylex_token: -I#S
1754444183.282386 yylex_token: end at WS
1754444183.282388 yylex_token: rename-session
1754444183.282390 yylex_token: end at WS
1754444183.282393 yylex_token: --
1754444183.282395 yylex_token: end at WS
1754444183.282397 yylex_token: %%
1754444183.282400 cmd_parse_build_commands 0:0: bind
